TimeStep,Time,"U:0","U:1","U:2","p","arc_length"
2,300,nan,nan,nan,nan,0
2,300,nan,nan,nan,nan,0.013856
2,300,nan,nan,nan,nan,0.027713
2,300,nan,nan,nan,nan,0.041569
2,300,nan,nan,nan,nan,0.055426
2,300,nan,nan,nan,nan,0.069282
2,300,nan,nan,nan,nan,0.083139
2,300,nan,nan,nan,nan,0.096995
2,300,nan,nan,nan,nan,0.11085
2,300,nan,nan,nan,nan,0.12471
2,300,nan,nan,nan,nan,0.13856
2,300,nan,nan,nan,nan,0.15242
2,300,nan,nan,nan,nan,0.16628
2,300,nan,nan,nan,nan,0.18013
2,300,nan,nan,nan,nan,0.19399
2,300,nan,nan,nan,nan,0.20785
2,300,nan,nan,nan,nan,0.2217
2,300,nan,nan,nan,nan,0.23556
2,300,nan,nan,nan,nan,0.24942
2,300,nan,nan,nan,nan,0.26327
2,300,nan,nan,nan,nan,0.27713
2,300,nan,nan,nan,nan,0.29098
2,300,nan,nan,nan,nan,0.30484
2,300,nan,nan,nan,nan,0.3187
2,300,nan,nan,nan,nan,0.33255
2,300,nan,nan,nan,nan,0.34641
2,300,nan,nan,nan,nan,0.36027
2,300,nan,nan,nan,nan,0.37412
2,300,nan,nan,nan,nan,0.38798
2,300,nan,nan,nan,nan,0.40184
2,300,nan,nan,nan,nan,0.41569
2,300,nan,nan,nan,nan,0.42955
2,300,nan,nan,nan,nan,0.44341
2,300,nan,nan,nan,nan,0.45726
2,300,nan,nan,nan,nan,0.47112
2,300,nan,nan,nan,nan,0.48497
2,300,nan,nan,nan,nan,0.49883
2,300,nan,nan,nan,nan,0.51269
2,300,nan,nan,nan,nan,0.52654
2,300,nan,nan,nan,nan,0.5404
2,300,nan,nan,nan,nan,0.55426
2,300,nan,nan,nan,nan,0.56811
2,300,nan,nan,nan,nan,0.58197
2,300,nan,nan,nan,nan,0.59583
2,300,nan,nan,nan,nan,0.60968
2,300,nan,nan,nan,nan,0.62354
2,300,nan,nan,nan,nan,0.63739
2,300,nan,nan,nan,nan,0.65125
2,300,nan,nan,nan,nan,0.66511
2,300,nan,nan,nan,nan,0.67896
2,300,nan,nan,nan,nan,0.69282
2,300,nan,nan,nan,nan,0.70668
2,300,nan,nan,nan,nan,0.72053
2,300,nan,nan,nan,nan,0.73439
2,300,nan,nan,nan,nan,0.74825
2,300,nan,nan,nan,nan,0.7621
2,300,nan,nan,nan,nan,0.77596
2,300,nan,nan,nan,nan,0.78982
2,300,nan,nan,nan,nan,0.80367
2,300,nan,nan,nan,nan,0.81753
2,300,nan,nan,nan,nan,0.83138
2,300,nan,nan,nan,nan,0.84524
2,300,nan,nan,nan,nan,0.8591
2,300,nan,nan,nan,nan,0.87295
2,300,nan,nan,nan,nan,0.88681
2,300,nan,nan,nan,nan,0.90067
2,300,nan,nan,nan,nan,0.91452
2,300,nan,nan,nan,nan,0.92838
2,300,nan,nan,nan,nan,0.94224
